Textos_espanol,prediccion
"El período de formación también permitió a los docentes y trabajadores discutir temas relacionados con la formación laboral de los estudiantes y mejorar los planes de formación y los métodos de evaluación. Los participantes mejoraron sus habilidades y autoestima, y ​​difundieron conocimientos a otros colegas. Este ejercicio fue evaluado por la Oficina de Información Económica de Finlandia como una de las mejores formas de desarrollar la profesionalidad de los docentes.",Educación de calidad
"Desde tiempos prehistóricos, los residentes del Ártico han desarrollado habilidades y conocimientos que les permiten sobrevivir y prosperar en condiciones adversas. Se ha observado que los norteños tienen un buen conocimiento de los asuntos importantes para su sustento y poseen un conocimiento único y diversificado sobre cómo garantizar su bienestar (Megatrends, 2011). Al mismo tiempo, la capacidad de las sociedades árticas para beneficiarse del conocimiento codificado estandarizado y la educación formal ha sido bastante limitada.",Educación de calidad
"Por lo tanto, es comprensible que el enfoque de línea de pobreza de un dólar por día se haya convertido en el dominante. Sin embargo, tiene debilidades significativas y hay varios tipos de problemas relacionados con su uso que necesitan ser revisados. Dependiendo de cómo se determine la constitución de la canasta y lo que se incluya, la línea de pobreza puede reducirse a lo que muchos pueden considerar un umbral demasiado bajo, o elevarse a lo que otros podrían cuestionar como demasiado generoso.",Fin de la pobreza
"Si bien persisten los desafíos para brindar resultados de aprendizaje equitativos para los niños y jóvenes de las comunidades indígenas y mejorar los logros en los niveles más altos del sistema educativo, Chile ha logrado la equidad en el acceso a la educación básica. Además, no existen diferencias significativas en la finalización de la primaria entre niños indígenas y no indígenas. Iniciativas específicas como una beca específica (Beca Indfgena Basica y Beca Indfgena Media) han tenido un impacto significativo en el aumento de la asistencia y la reducción de la deserción entre los beneficiarios. Además, el reconocimiento y promoción de las lenguas y culturas indígenas en el sistema educativo se beneficia con la implementación del Programa de Educación Intercultural Bilingüe (PEIB) dirigido a las escuelas que atienden a estudiantes indígenas.",Educación de calidad
"Los niños pequeños tienen más probabilidades de estar en situación de riesgo porque sus padres también suelen ser jóvenes con ingresos relativamente bajos, o porque sus madres no tienen trabajo (Bradbury y Jantii, 2001). Las estrategias para aliviar la pobreza infantil varían de un país a otro, y las políticas tienden a promover el empleo (en particular a través de la reforma de la asistencia social de los últimos años) o a proporcionar prestaciones generosas para redistribuir los ingresos entre los pobres. Conseguir que las familias monoparentales trabajen ha sido un objetivo central de la política en varios países en los últimos años, con políticas de ""reforma de la asistencia social"" en Australia, Canadá, Nueva Zelanda, el Reino Unido y los Estados Unidos, todas dirigidas al empleo entre las familias monoparentales.",Fin de la pobreza
"Borko et Putnam 1995) En cuanto al impacto de la formación del profesorado en los resultados de los alumnos, es posible subdividir esta cuestión en tres subpreguntas. ¿Cuál es el impacto de la formación del profesorado en los resultados de los alumnos? Este estudio empírico se basa en datos de 50 encuestas estatales sobre políticas, extraídos de la encuesta Schools and Staffing de 1990-1993 y de la Evaluación Nacional del Progreso Educativo (NAEP). Muestra pruebas de que las políticas utilizadas en los distintos Estados americanos para promover la calidad del profesorado (especialmente las relativas a los requisitos y la certificación de la formación del profesorado, así como a la formación continua) pueden estar positivamente relacionadas con mejores resultados de los alumnos.",Educación de calidad
"Para las familias, un trabajo de salario mínimo generalmente no es suficiente para escapar de la pobreza relativa en el umbral del 50%. Sin embargo, los beneficios en el trabajo y/o las tasas de eliminación gradual de beneficios para familias con niños, como en Australia, Irlanda y el Reino Unido, pueden proporcionar un aumento significativo de los ingresos. Los trabajadores monoparentales a tiempo completo con salario mínimo en estos países obtienen ingresos netos iguales o superiores al 60 % de los ingresos medios.",Fin de la pobreza
"Más precisamente, se está prestando especial atención a la formación inicial, entre otros aspectos. Los futuros maestros en estos niveles deben obtener títulos de licenciatura de cuatro años, lo que significa una extensión de un año en la formación docente. No obstante, las universidades españolas deberán elaborar los programas de formación inicial del profesorado de acuerdo con las directrices marcadas por el Gobierno español.",Educación de calidad
"Esta inmensa disminución y el liderazgo de la región a nivel mundial se han debido principalmente a la reducción de la pobreza en China e India, ya que solo estos dos países han sacado a 650 millones de personas de la pobreza extrema. La incidencia más alta de pobreza extrema se registra en Asia Meridional y Sudoccidental (28,7 % en 2010), mientras que la más baja se registra en Asia Septentrional y Central (1,0 % en 2011). Cabe señalar que, desde 1990, Asia oriental y nororiental y Asia sudoriental han registrado las reducciones absolutas más rápidas de las tasas de pobreza en comparación con las de otras subregiones.",Fin de la pobreza
"Cuanto más temprana sea la privación y más larga sea su duración, mayor será el impacto potencial en el niño. La diferencia entre los dos se ilustra en el siguiente diagrama. El hogar con los ingresos más bajos en la calle vive en el número 1, el segundo hogar más pobre vive en el número 2 y así sucesivamente hasta el hogar más rico en el número 15. En el ejemplo que se da aquí, esto llega a $60,000. En este ejemplo, el ingreso medio es de $40,000 (el ingreso de la casa No. Imagine, por ejemplo, que las dos personas más ricas de la calle, viviendo en las casas No.",Fin de la pobreza
"Southern Med Review, 4(2), 69. Análisis de series de tiempo de la relación entre desempleo y mortalidad: una encuesta de críticas econométricas y réplicas de los estudios de Brenner. ¿La economía afecta el uso de sustancias en los adolescentes? Reichman, NE (2013). Ciclos económicos, hipertensión y enfermedades cardiovasculares: evidencia del colapso económico de Islandia.",Salud y bienestar
"Como resultado, el número de camas se sitúa ahora en torno a la media de la UE, mientras que la duración media de la estancia está muy por debajo de la media de 6,8 días en comparación con los 8 días (2015). Esto, junto con el hecho de que todavía hay muchos hospitales regionales más pequeños, sugiere que hay espacio para racionalizar la red hospitalaria para mejorar la eficiencia, a pesar de la oposición pública que esto probablemente genere (ver Sección 5.2). La cirugía de cataratas ha sido un éxito particular con uno de los porcentajes más altos de casos ambulatorios en la UE (2015). Las amigdalectomías, por el contrario, todavía se realizan exclusivamente en entornos hospitalarios (Figura 14).",Salud y bienestar
"En los países ricos en petróleo, los precios más altos de los combustibles tienen un efecto positivo en el nivel de vida como resultado del aumento de la demanda agregada. En los países importadores de petróleo, un aumento en el precio de los combustibles puede tener un efecto directo en la pobreza a través del consumo de energía y un efecto indirecto a través del aumento de los precios de los productos básicos cuya producción requiere energía. El impacto sobre la pobreza de un aumento en el precio de la energía puede variar según las diferentes ubicaciones geográficas y dependiendo de si un hogar está conectado a la infraestructura de servicios públicos. En los hogares urbanos, la proporción del consumo de energía suele ser mayor en comparación con los hogares rurales.9 Si la infraestructura de servicios públicos es insuficiente, es posible que los hogares ni siquiera estén conectados a fuentes centrales de energía.",Fin de la pobreza
"Por lo general, estos pagos por resultados se centran en resultados intermedios, por ejemplo, presión arterial o nivel de glucosa en sangre controlados, y solo en raras ocasiones en medidas de resultados como las tasas de supervivencia. En el sector de pacientes hospitalizados, la participación de los ingresos de los proveedores es mucho menor, con frecuencia alrededor del 0,1 % de los presupuestos hospitalarios y nunca superando el 4 % (Milstein y Schreyogg, 2015). Si bien se puede esperar que los programas P4P incluyan al menos algunas medidas de desempeño o resultados, la mayoría, si no todos, los programas P4P también incluyen pagos ex post más simples vinculados a la prestación de servicios (por ejemplo, finalización de ciertos datos y registro, establecimiento del plan de atención).",Salud y bienestar
"En segundo lugar, la enseñanza para el examen enfatiza la memorización y un enfoque más pasivo del aprendizaje, ya que los maestros pasan más tiempo desarrollando estrategias para tomar exámenes en lugar de cultivar las habilidades de resolución de problemas de los estudiantes (Kellaghan et al., Al involucrar a los maestros en el desarrollo e implementación de pruebas estandarizadas y capacitar a los maestros sobre cómo usar y analizar de manera efectiva los resultados de las pruebas, puede haber menos riesgo de enseñar para la prueba. Sin embargo, los incentivos adjuntos a los resultados de las pruebas deben construirse cuidadosamente para evitar motivar comportamientos estratégicos como enseñar para la prueba, la investigación es mezclados en cuanto a cómo promover de manera efectiva comportamientos positivos como resultado de incentivos mientras se reducen los comportamientos negativos.",Educación de calidad
"La variación entre las áreas locales australianas fue evidente en todas las intervenciones y condiciones. También hubo una amplia variación en comparación con otros países. Por ejemplo, las tasas de ingreso hospitalario no quirúrgico fueron el doble en Australia, alrededor de 12 000 por 100 000 habitantes mayores de 15 años, que en España, Portugal y Canadá, donde estuvieron por debajo de 6 000.",Salud y bienestar
"Los créditos presupuestarios se controlan por ocho áreas programáticas (administración, servicios sanitarios de distrito, servicios sanitarios de urgencia, servicios hospitalarios provinciales, servicios hospitalarios centrales, ciencias de la salud y formación, servicios de apoyo a la atención sanitaria, gestión de instalaciones sanitarias) y luego por partidas (las clasificaciones económicas generales para pagos corrientes son remuneración de empleados, bienes y servicios, intereses y alquiler de terrenos). También hay un seguimiento electrónico más frecuente (mensual y trimestral) por parte del Tesoro Nacional para comprobar que el dinero se ha gastado según lo programado. El objetivo de estas reuniones es comprobar que los fondos se han recibido a tiempo y se han gastado según lo previsto en el presupuesto.",Salud y bienestar
"Existen grandes desigualdades en la prevalencia de estas enfermedades crónicas según el nivel educativo. Sin embargo, se observan diferencias en la autovaloración de la salud por estatus socioeconómico: El 82% de las personas del quintil de ingresos más altos declaran tener buena salud, frente al 68% de las del quintil más bajo (Figura 4). Sin embargo, esta diferencia es menor que en la mayoría de los demás países de la UE. Según las estimaciones, más del 30% de la carga global de morbilidad en Dinamarca en 2015 podría atribuirse a factores de riesgo comportamentales, como el tabaquismo, el consumo de alcohol, la dieta y la inactividad física, siendo el tabaquismo y los riesgos metabólicos (por ejemplo, la obesidad y el colesterol alto) los que más contribuyen (IHME.",Salud y bienestar
"También es posible que un titular de maestría tome un año de estudios pedagógicos en la facultad de educación y obtenga una calificación formal de maestro. No solo se espera que los candidatos a maestros se conviertan en expertos en el conocimiento del contenido pedagógico, sino que también deben escribir una disertación basada en la investigación como requisito final para obtener el título de maestría. Los maestros de grado superior se especializan en un área académica de su elección, los maestros de grado primario se especializan en ciencias de la educación.",Educación de calidad
"La agrupación por capacidades en una o unas pocas asignaturas es la forma más flexible de selección. De hecho, en los sistemas con más escuelas académicamente selectivas, el impacto del estatus socioeconómico de los estudiantes y las escuelas en el rendimiento de los estudiantes es más fuerte (OCDE, 2013a, Tabla IV. Los resultados de PISA también muestran que, en la mayoría de los países de la OCDE, el rendimiento de los alumnos es significativamente inferior en los centros en los que la mayoría de los alumnos proceden de entornos desfavorecidos.",Educación de calidad
"Australia Occidental, por ejemplo, ha implementado una revisión obligatoria de todas las muertes que ocurren en hospitales públicos y centros de salud privados que brindan servicios a pacientes públicos. Queensland lleva a cabo una ""auditoría de cabecera"" anual, donde los médicos recopilan información sobre ciertos elementos de la atención para evaluar si se han cumplido los estándares esperados. A nivel nacional, el Royal Australasian College of Surgeons establece como requisito para participar en el Australian Auditoría de mortalidad quirúrgica de Zelanda como parte del programa de desarrollo profesional continuo de la universidad. El ACSQHC también realiza auditorías para evaluar el cumplimiento de los estándares. La mayoría de los datos se centran en los volúmenes de atención y los recursos dentro del sistema. Los datos clínicos también se recopilan casi exclusivamente a través de registros específicos. (organizados por enfermedad, dirigidos a grupos específicos de población o basados ​​en hospitales).",Salud y bienestar
"De hecho, ese fue uno de los objetivos iniciales declarados del software cuando se desarrolló por primera vez. Incluye registros de salida detallados de todos los cálculos del software Povcal, incluidos los parámetros estimados de la curva de Lorenz en cada caso. Llevar las nociones de pobreza de la OCDE a este conjunto de datos en su mayoría no perteneciente a la OCDE requiere extender el marco metodológico de Povcal para derivar la medida de bienestar medio directamente de los parámetros de la curva de Lorenz que estima Povcal a partir de datos de distribución agrupados.",Fin de la pobreza
"El proyecto involucró a 15 clínicas primarias y 239 pacientes. Después de que los pacientes transmitieran información biométrica medida por ellos mismos al sistema de monitoreo a través de la puerta de enlace en una aplicación de teléfono inteligente, los médicos revisaron los datos y dieron retroalimentación directamente a cada persona. Entre el inicio del proyecto y tres meses después, para el grupo de prueba, los niveles de HbAlc disminuyeron en promedio 0,64 puntos porcentuales, de 7,98 a 7,35 puntos porcentuales, mientras que para el grupo de control la caída fue de 0,36 puntos porcentuales.",Educación de calidad
"Casi todos los estudiantes continúan aprendiendo en la educación secundaria superior, más allá de la educación obligatoria. Todo esto se logra en un sistema escolar que brinda amplia autonomía a los líderes escolares y maestros, y se logra con niveles de gasto comparativamente modestos. Las disminuciones continuas en el tamaño de la población en edad escolar desafían a las autoridades a administrar de manera eficiente la red escolar de la nación. La capacidad de la nación para reponer su fuerza laboral docente se ve obstaculizada por condiciones de empleo poco atractivas, una visión poco clara de lo que son las buenas prácticas docentes y qué tipo de capacitación puede promover mejor la buena enseñanza.",Educación de calidad
"De los siete países para los que se puede estimar la pobreza infantil, el Banco Mundial clasifica a Guyana como de ingreso medio-bajo, a Belice, Granada, Jamaica, Santa Lucía y Surinam como de ingreso medio-alto, y a Antigua y Barbuda y Trinidad y Tobago como de ingreso alto. . Sin embargo, ni el ingreso nacional ni la pobreza monetaria explican completamente la variabilidad en los niveles de pobreza infantil. Por ejemplo, aunque Trinidad y Tobago tiene el producto interno bruto per cápita más alto del Caribe, no tiene el nivel más bajo de pobreza infantil.",Fin de la pobreza
"Como se discutirá con más detalle más adelante, el impacto directo de las exportaciones sobre la pobreza puede ser adicional a su efecto de reducción de la pobreza, dependiendo del tipo de exportaciones, a través de su impacto general de mejora del crecimiento. La evidencia a nivel agregado presta apoyo definitivo a la proposición de que las exportaciones juegan un papel especial en la reducción de la pobreza (ver figura 26). El gráfico indica que los índices de pobreza disminuyen cuando aumentan las exportaciones reales per cápita.",Fin de la pobreza
"Esto significa que las personas/hogares a los que les falta cierto bien o bien duradero se ven privados de ese bien o bien duradero solo si el motivo de la falta es que no pueden permitírselo. (Véase, por ejemplo, de Neubourg et al 2012a, Guio, 2009, Guio et al, 2009, Whelan and MaTtre, 2012, Nolan and Whelan, 2010, Fusco et al, 2011 y Fusco et al, 2013). Permite identificar a los niños individuales sobre la base de si sufren pobreza monetaria, carencias multidimensionales, ambas o ninguna de ellas. Esto permite explorar la distribución subyacente del consumo o del ingreso y las relaciones entre privación, privación múltiple y pobreza monetaria.",Fin de la pobreza
"Se espera que satisfaga las demandas de mano de obra de la economía, brinde igualdad de oportunidades educativas para todos y promueva la unidad nacional en la sociedad plural de Malasia. La educación en Malasia está supervisada por dos ministerios gubernamentales: el Ministerio de Educación para asuntos hasta el nivel secundario y el Ministerio de Educación Superior para la educación terciaria. La principal legislación que rige la educación es la Ley de Educación de 1996.",Educación de calidad
"L' instauration de droits de scolarite universels, paraleloment a des prets remboursables en fonction des ressources, pourrait aporter une solution & ces problemes. Ce Document de travail se rapporte a VEtude economique de l'OCDE de la Slovenie 2011 (www.oecd.org/eco/etudes/Slovenie). El uso de dichos datos por parte de la OCDE es sin perjuicio del estado de los Altos del Golán, Jerusalén Este y los asentamientos israelíes en Cisjordania según los términos del derecho internacional. Sin embargo, el sistema enfrenta desafíos importantes.",Educación de calidad
"Kazajstán reaccionó rápidamente e introdujo un programa de obras públicas, junto con actividades de capacitación y pasantías (consulte la sección 4 anterior). Protegen los ingresos de los pobres y, al mismo tiempo, invierten en la construcción de infraestructura o la prestación de servicios sociales. Son especialmente apropiados en una situación de alto desempleo.",Salud y bienestar
"Abordamos los problemas del idioma de instrucción en las escuelas en términos de esfuerzos para conservar los idiomas heredados y asegurar que los estudiantes adquieran los idiomas nacionales de comercio y educación superior. También abordamos la educación indígena, enfocándonos en los esfuerzos para aumentar el control indígena sobre la educación y las nuevas formas de usar y transmitir ese conocimiento indígena y las formas de enseñar y aprender, ya sea dentro o fuera de los sistemas escolares formales. Y, por último, analizamos los problemas de rendimiento de los estudiantes, centrándonos especialmente en la brecha de género entre mujeres y hombres y en el bajo rendimiento continuo de los estudiantes indígenas en gran parte del norte.",Educación de calidad
"Los enfoques comunitarios de la medicina y la educación médica también beneficiarían a la región y mejorarían los resultados de aprendizaje de los estudiantes. Los estudiantes de medicina pasarán mucho menos tiempo en los hospitales y mucho más tiempo en las comunidades. Los estudiantes aprenderán desde una etapa temprana a trabajar en equipos multidisciplinarios junto a enfermeras, trabajadores sociales, psicólogos y otros profesionales de la salud afines.",Salud y bienestar
"En Finlandia, por ejemplo, la mayor parte de la variación de rendimiento observada se da dentro de los centros escolares y no entre ellos, lo que indica que los centros tienen niveles de rendimiento similares y no seleccionan a los alumnos por su capacidad académica. Las diferencias en el entorno socioeconómico de los centros explican una pequeña proporción de las ya pequeñas diferencias de rendimiento entre centros, lo que sugiere que hay poca segregación por motivos socioeconómicos. Las economías no miembros de la OCDE se incluyen a efectos comparativos.",Educación de calidad
"En los Países Bajos, los servicios de hospitalización también son gratuitos una vez que se alcanza el deducible general anual. Cuando se trata como un paciente privado en un hospital público o privado, Medicare cubre una proporción reducida de los costos y el costo restante a menudo lo paga un seguro de salud privado o de su propio bolsillo. En 2011-2012, los pacientes públicos representaron el 51 % de los ingresos hospitalarios y los pacientes cubiertos por seguros de salud privados el 39 %4 (Instituto Australiano de Salud y Bienestar, 2013).",Salud y bienestar
"Durante ese periodo, el gasto por alumno en los niveles primario, secundario y postsecundario no terciario aumentó en la mayoría de los países de la OCDE (un 19% de media en toda la OCDE), con un incremento medio del gasto del 15% y un ligero descenso del número de alumnos (3%), debido a que las cohortes que llegan a la edad escolar son más reducidas (OCDE, 2014). Sin embargo, como se ha señalado anteriormente, las diferencias en la calidad de los sistemas educativos pueden dar lugar a diferencias significativas en el nivel de competencias alcanzado por personas con el mismo nivel educativo. Según los resultados de la Encuesta sobre las Competencias de los Adultos, la magnitud es tal que los titulados universitarios de países con sistemas educativos de bajo rendimiento tienen niveles de competencias similares a los de los estudiantes que solo han alcanzado la educación secundaria en los países con mejores resultados (Figura 1.1).",Educación de calidad
"Redes de pares tenc Los pocos sistemas de América Latina y Medio Oriente escala. La tabla indica dónde, entre todos los docentes, un determinado docente se beneficiaría de una sola mejor práctica, en comparación con aquellos que se benefician de cinco o diez tan importantes. La Tabla 2.1 muestra el puntaje de un docente en la profesionalidad docente que se espera que clasifique si se benefició de las prácticas que la OCDE identifica o se encuentra entre el tercio inferior de todas las profesiones y entornos laborales.",Educación de calidad
"Varios países de América Latina y África han intentado, con la fuerte ayuda de los donantes, formalizar los títulos de propiedad de la tierra siguiendo el argumento de De Soto, a pesar de que De Soto ha ofrecido poca evidencia real de que la formalización de los títulos de propiedad en realidad conduzca a un mayor acceso al crédito. y por lo tanto a la reducción de la pobreza en el mundo en desarrollo. Según la defensora legal Murtaza Jaffer (citado en Bourbeau, 2001, pp. Los pobres pronto venden sus intereses, regresando una vez más a los asentamientos no planificados y la desesperación).",Fin de la pobreza
"Se debe dar prioridad a una serie de áreas políticas clave. Primero, es importante atraer candidatos de alta calidad a la profesión y garantizar que los mejores líderes escolares trabajen en las escuelas más desfavorecidas. Chile necesita mejorar el perfil del liderazgo escolar. Una estructura de carrera diferenciada con su propia escala salarial podría asegurar niveles de remuneración adecuados, significativamente superiores a los de los docentes y similares a otros profesionales del sector público con niveles de responsabilidad similares.",Educación de calidad
"Hay una sobreoferta de formación docente inicial que tiene una calidad desigual y las oportunidades de desarrollo profesional carecen tanto de estructura como de un enfoque basado en la escuela. De manera similar, los líderes escolares y otros líderes educativos no están bien preparados, apoyados o reconocidos, y su rol carece de un enfoque en la mejora educativa. Han emprendido un programa aprobado de preparación docente o su equivalente en otro lugar.",Educación de calidad
"En conjunto, el tiempo dedicado por los jóvenes de 15 años a la instrucción en la escuela y el tiempo de instrucción autodeclarado fuera de la escuela (43 horas) es ligeramente inferior a la media de la OCDE (44 horas). Panorama de la Educación 2016: Indicadores de la OCDE. Tabla D 1.1, liltn://dx.doi.org/10.1787/cag-2016-cn. Los hombres representan el 18% de la mano de obra en educación secundaria inferior y solo el 3% en educación primaria, ambas cifras por debajo de la media de la OCDE y la UE.",Educación de calidad
"Pero las tendencias de la pobreza por edad han ido cambiando. La OCDE (2008) informó que las personas que han visto los mayores aumentos de ingresos en las últimas dos décadas son las que se encuentran en edad de jubilación (55-75), mientras que los jóvenes (entre 16 y 24 años) y los niños han visto disminuir sus ingresos relativos. Como consecuencia, la tasa de pobreza de los pensionistas ha disminuido, con caídas muy grandes en algunos países, y ahora está por debajo del promedio de población de la OCDE. Para los jubilados mayores, aquellos mayores de 75 años, el riesgo de pobreza también sigue siendo relativamente alto, 1,5 veces el promedio de la población, y las mujeres mayores solteras están particularmente en riesgo.",Fin de la pobreza
"Si bien se encuentra que las escuelas con bajo rendimiento suelen utilizar los comentarios de las visitas de inspección para mejorar la calidad, hay indicios de que las escuelas etiquetadas como de calidad básica a menudo se involucran menos en el uso de información evaluativa para obtener información sobre sus propios desafíos y planificar la mejora (Inspección holandesa de Educación, 2013). La evaluación y evaluación en los Países Bajos operan en un contexto en el que la mayoría de las escuelas son ""propiedad"" de organismos no públicos (por ejemplo, comunidades religiosas o profesionales que persiguen filosofías pedagógicas particulares) e incluso las escuelas públicas suelen ser administradas por juntas semiautónomas, similares a los del sector no público (ver Capítulo 1). Como se describió anteriormente, el tamaño y la composición de los consejos escolares, así como las competencias de evaluación de los miembros del consejo escolar, son muy variables. En su informe 2011/2012 sobre el Estado de la Educación en los Países Bajos, la Inspección señala que ""la garantía de calidad es un área en la que muchas juntas escolares podrían mejorar"" (Inspección de Educación de los Países Bajos, 2013, p. 27).",Educación de calidad
"Por tanto, es fundamental que los responsables políticos ayuden a los adultos a mejorar las competencias y cualificaciones educativas que necesitan en el mercado laboral. Esto incluye ayudarles a encontrar empleo, por ejemplo mediante orientación profesional y tutoría, y también motivar a los empresarios para que inviertan en su mano de obra, y especialmente en la población desfavorecida. Los adultos con un mayor nivel educativo tienen más posibilidades de estar empleados y ganar salarios más altos.",Educación de calidad
"Un sistema de atención primaria funcional en el que el médico de familia actúe como centro coordinador de la atención a pacientes complejos y garantice que los medicamentos y los regímenes de tratamiento se revisan adecuadamente a lo largo del tiempo contribuirá a garantizar que se atienden las necesidades de atención complejas derivadas de las enfermedades crónicas. Un buen ejemplo de programa comunitario en Corea es el proyecto de registro de Gwang Myeong, centrado en el tratamiento de la diabetes y la hipertensión (véase el recuadro 3.1). Este proyecto piloto está dirigido por el Gobierno Provincial de Gyeonggi y en él colaboran el Ministerio de Salud y Bienestar, el Centro Coreano de Control de Enfermedades, el Gobierno Provincial de Gyeonggi, el centro de salud metropolitano de Gwang Myeong, instituciones provinciales de atención médica y farmacias, y el centro de control de la hipertensión/diabetes mellitus.",Salud y bienestar
"De acuerdo con el último informe PISA sobre el bienestar de los estudiantes (OCDE, 2017), el 44 % de los estudiantes informaron que esperan completar la educación terciaria en promedio en los países de la OCDE. Solo el 26 % de los estudiantes en el cuartil inferior del índice ESCS de PISA informaron que esperan completar la universidad, en comparación con el 66 % de los estudiantes del índice ESCS superior en promedio en los países de la OCDE. En Alemania, los Países Bajos, Eslovenia, menos del 10% de los estudiantes informaron que esperaban obtener un título universitario.",Educación de calidad
"En otras palabras, no se puede determinar la dirección causal de esta asociación. Sin embargo, en más de un tercio de los países y economías, incluidos muchos que compensan las desventajas en las escuelas asignando más docentes a esas escuelas, los docentes de las escuelas más desfavorecidas están menos calificados y/o tienen menos experiencia que los de las escuelas más aventajadas (Gráfico 1.2). A veces, las mismas políticas que canalizan más recursos a las escuelas de alta necesidad podrían, de hecho, disuadir a los maestros con más experiencia de enseñar en estas escuelas. Donde las reglas establecidas centralmente para la promoción y la movilidad de los docentes privilegian las preferencias de los docentes y dan prioridad a los docentes de mayor antigüedad, y donde el salario de los docentes no varía mucho entre las escuelas o entre los docentes con experiencia y calificaciones similares, parece difícil evitar atraer una alta concentración. de los profesores más experimentados en las escuelas más prestigiosas.",Educación de calidad
"Sin embargo, las poblaciones rurales, así como los aborígenes y los isleños del Estrecho de Torres, obtienen peores resultados académicos y tienen menos acceso a la enseñanza superior que la media nacional. Una alta proporción de niños están matriculados en educación infantil, y la escuela es general hasta los 16 años. La posibilidad de elegir escuela está muy extendida en comparación con la zona de la OCDE. Los itinerarios de secundaria y superior tienen como objetivo preparar a los estudiantes para la integración social y la entrada en el mercado laboral. Las tasas de éxito en la enseñanza secundaria superior se sitúan en la media de la OCDE.",Educación de calidad
"Se basa en los nueve años de educación básica (seis de primaria y tres de secundaria). Los alumnos que acceden al segundo ciclo de secundaria pueden ir a un centro de orientación más académica o a un centro de formación profesional. Esto se aplica tanto en el sistema islámico como en el no islámico. La enseñanza secundaria superior formal comprende la enseñanza general (sekolah menengah atas, o SMA), la enseñanza profesional (sekolah menengah kejuruan, o SMK), las escuelas secundarias superiores islámicas (madrasah aliyah, o MA) y la enseñanza profesional islámica (madrasah aliyah kejuruan, o MAK). Este capítulo se centra principalmente en la enseñanza secundaria superior académica, mientras que el capítulo 5 trata de la formación profesional. Se está trabajando en el desarrollo de colegios comunitarios y vías alternativas de acceso a la enseñanza superior. ",Educación de calidad
"El gasto farmacéutico puede reducirse haciendo un uso más eficaz de las prácticas de contratación pública y fomentando la prescripción de genéricos. Hungría informa entre las tasas de mortalidad más altas tanto para los cánceres prevenibles (p. ej., cáncer de pulmón) como para los cánceres tratables (p. ej., cáncer de mama, de cuello uterino y de colon). Existen programas nacionales para promover la detección periódica del cáncer de mama y de cuello uterino, pero las tasas de detección entre las mujeres del grupo de edad objetivo siguen siendo bajas.",Salud y bienestar
"De media, por cada 1 % de crecimiento adicional del gasto sanitario antes de la crisis se produjo una caída del 0,9 % del gasto sanitario después de la crisis. Esta recesión ha sido en muchos aspectos más profunda, ha durado más y ha experimentado una recuperación más débil que recesiones anteriores como las vividas en las décadas de 1970 y 1980 (OCDE 2012). Los patrones del gasto sanitario también han sido notablemente diferentes durante la recesión del psot-2008.",Salud y bienestar
"Una investigación basada en la Encuesta sobre Insuficiencia Cardíaca en Israel, que examinó la calidad de la atención a los pacientes con insuficiencia cardíaca, descubrió que las tasas de mortalidad aumentaban bruscamente tras el alta hospitalaria. La mortalidad intrahospitalaria fue del 4,7%; sin embargo, la mortalidad aumentó al 19% a los seis meses del alta y al 28% al año del alta (Garty et al., El elevado riesgo de mortalidad a largo plazo indica la necesidad urgente de desarrollar estrategias de tratamiento más eficaces para los pacientes con ICC dados de alta del hospital.",Salud y bienestar
"Este informe examina la situación en Canadá con respecto a la pobreza infantil, las privaciones materiales que afectan a las familias y el bienestar de los niños, niñas y adolescentes con base en indicadores disponibles para el análisis comparativo. También informa sobre el desarrollo de políticas para comprender las tendencias de la pobreza infantil e identificar algunas direcciones de políticas que pueden ayudar a reducir la pobreza infantil en el futuro. El informe está organizado de la siguiente manera.",Fin de la pobreza
"Aunque la titularidad pública de los centros de salud sigue siendo la norma en muchos consejos comarcales, especialmente en las zonas rurales y escasamente pobladas, el número de proveedores privados aumentó significativamente tras las reformas recientes. En algunos consejos de condado son actores importantes; en Estocolmo, por ejemplo, aproximadamente la mitad de todos los proveedores de atención primaria son privados. Aunque no existen evaluaciones sólidas del impacto de las reformas, se han informado algunos impactos positivos. Se informa que las reformas recientes aumentaron la capacidad de atención primaria, redujeron los tiempos de espera y mejoraron el acceso, incluso para los grupos de bajos ingresos (Anell et al., A pesar del aumento de proveedores de atención primaria, la escasez relativa persiste en las áreas rurales porque la expansión se ha producido principalmente en áreas más ricas, urbanas y más densamente pobladas Las reformas también han traído un mayor enfoque en la calidad, la eficiencia y la transparencia, ejemplificado por la medición y publicación de información sobre el desempeño para apoyar la elección del paciente (por ejemplo, a través del sitio web Open Comparisons), e incentivos a los consejos comarcales y municipios para la mejora de la calidad.",Salud y bienestar
"Aunque varios estudios analizan la dinámica de la pobreza infantil en países individuales (por ejemplo, Ashworth et al. Sin embargo, una perspectiva transnacional proporciona puntos de referencia para los resultados nacionales. También ayuda a explorar los efectos de diversos entornos de políticas o, al menos, formular preguntas relevantes sobre efectos de política (ver Valletta 2006) El estudio analiza el alcance de la movilidad a lo largo de los deciles de la distribución del ingreso, investiga si el crecimiento del ingreso entre los niños ha sido favorable a los pobres y si la movilidad del ingreso puede haber compensado la desigualdad de ingresos entre los niños.",Fin de la pobreza
